concept,blocks,mean_clip_img_sim,clip_score_concept_target,clip_score_concept_origin,clip_score_all_target,clip_score_all_origin,clip_score_prompt_target,clip_score_prompt_origin
cat_dog,0_2,0.8790707588195801,0.20902377565701802,0.1471533904472987,0.29283602237701417,0.22088936418294908,0.2420401692390442,0.2896377811829249
cat_dog,300_2_diff_s,0.8067822655042013,0.22137373189131418,0.1471533904472987,0.293530535697937,0.22088936418294908,0.20883776644865673,0.2896377811829249
cat_dog,300_2_diff_m,0.8232305447260538,0.21734160780906678,0.1471533904472987,0.2975242535273234,0.22088936418294908,0.21785649359226228,0.2896377811829249
cat_dog,300_2_normals_s,0.81923535267512,0.22015151977539063,0.1471533904472987,0.29980118076006573,0.22088936418294908,0.22009080052375793,0.2896377811829249
cat_dog,1000_2_diff_s,0.7861595630645752,0.22213446696599323,0.1471533904472987,0.2837123304605484,0.22088936418294908,0.19980344871679942,0.2896377811829249
cat_dog,1000_2_diff_m,0.7850640932718913,0.22075357536474863,0.1471533904472987,0.29103715817133585,0.22088936418294908,0.21082285145918528,0.2896377811829249
cat_dog,1000_2_normals_s,0.771335764726003,0.21893702844778698,0.1471533904472987,0.28529881437619525,0.22088936418294908,0.20766499737898508,0.2896377811829249
apple_banana,0_2,0.948936919371287,0.18351968228816987,0.17045917809009553,0.23959059417247772,0.22480927109718324,0.2878060777982076,0.2957993616660436
apple_banana,300_2_diff_s,0.8953861991564432,0.20330213805039724,0.17045917809009553,0.2562741905450821,0.22480927109718324,0.2626339008410772,0.2957993616660436
apple_banana,300_2_diff_m,0.9135377526283264,0.1899067372083664,0.17045917809009553,0.24603458046913146,0.22480927109718324,0.2617829213539759,0.2957993616660436
apple_banana,300_2_normals_s,0.9050607959429423,0.19338821371396384,0.17045917809009553,0.24646121263504028,0.22480927109718324,0.2519025425116221,0.2957993616660436
apple_banana,1000_2_diff_s,0.8722713073094686,0.21292659838994343,0.17045917809009553,0.26197111209233603,0.22480927109718324,0.24997931917508442,0.2957993616660436
apple_banana,1000_2_diff_m,0.9029654860496521,0.19279831846555073,0.17045917809009553,0.2496967742840449,0.22480927109718324,0.2491655816634496,0.2957993616660436
apple_banana,1000_2_normals_s,0.8846506436665853,0.20711704591910043,0.17045917809009553,0.2688893516858419,0.22480927109718324,0.22766529520352682,0.2957993616660436
kettle_vase,0_2,0.8661949793497722,0.19947835306326547,0.15011604726314545,0.2701727817455927,0.22861947119235992,0.25020568271478016,0.28152126371860503
kettle_vase,300_2_diff_s,0.755835994084676,0.21525361239910126,0.15011604726314545,0.26132492323716483,0.22861947119235992,0.18603663941224416,0.28152126371860503
kettle_vase,300_2_diff_m,0.8041568120320638,0.20051235109567642,0.15011604726314545,0.2605316718419393,0.22861947119235992,0.21292178332805634,0.28152126371860503
kettle_vase,300_2_normals_s,0.8285888115564982,0.1975415329138438,0.15011604726314545,0.26665348609288536,0.22861947119235992,0.22516621152559915,0.28152126371860503
kettle_vase,1000_2_diff_s,0.7286919156710306,0.2033326158920924,0.15011604726314545,0.24505078693230947,0.22861947119235992,0.17581313451131184,0.28152126371860503
kettle_vase,1000_2_diff_m,0.7960365573565166,0.19770383834838867,0.15011604726314545,0.2576276352008184,0.22861947119235992,0.21556833783785503,0.28152126371860503
kettle_vase,1000_2_normals_s,0.7668670217196146,0.1895595908164978,0.15011604726314545,0.24811463356018065,0.22861947119235992,0.21775178015232086,0.28152126371860503
age,0_2,0.7443832715352376,0.1665244773030281,0.14914908011754355,0.25508901178836824,0.21223699450492858,0.23849921226501464,0.26664511660734813
age,300_2_diff_s,0.6747051159540812,0.182267294327418,0.14914908011754355,0.2777112662792206,0.21223699450492858,0.23727958997090656,0.26664511660734813
age,300_2_diff_m,0.6725589712460835,0.1808153380950292,0.14914908011754355,0.2781340877215068,0.21223699450492858,0.23953821063041686,0.26664511660734813
age,300_2_normals_s,0.6676086604595184,0.1798015962044398,0.14914908011754355,0.2732762823502223,0.21223699450492858,0.23484170238176982,0.26664511660734813
age,1000_2_diff_s,0.6040702442328135,0.17608510355154675,0.14914908011754355,0.26809172828992206,0.21223699450492858,0.23058583041032155,0.26664511660734813
age,1000_2_diff_m,0.6398780783017476,0.17563798328240712,0.14914908011754355,0.2719626218080521,0.21223699450492858,0.23725996017456055,0.26664511660734813
age,1000_2_normals_s,0.6446588277816773,0.1809607485930125,0.14914908011754355,0.27468317151069643,0.21223699450492858,0.23527018030484517,0.26664511660734813
gender,0_2,0.8416264931360881,0.14470175703366597,0.09588621854782105,0.2521938274304072,0.19682875176270803,0.21914123992125192,0.24878585437933604
gender,300_2_diff_s,0.7351458748181661,0.15527794112761814,0.09588621854782105,0.24054662883281708,0.19682875176270803,0.1902443801363309,0.24878585437933604
gender,300_2_diff_m,0.7351458748181661,0.15527794112761814,0.09588621854782105,0.24054662883281708,0.19682875176270803,0.1902443801363309,0.24878585437933604
gender,300_2_normals_s,0.7287586212158204,0.15562402009963988,0.09588621854782105,0.24344806671142577,0.19682875176270803,0.1911707987387975,0.24878585437933604
gender,1000_2_diff_s,0.692403777440389,0.1687727058927218,0.09588621854782105,0.23491050203641256,0.19682875176270803,0.1888365427652995,0.24878585437933604
gender,1000_2_diff_m,0.6644109884897867,0.15317546824614206,0.09588621854782105,0.22306487162907918,0.19682875176270803,0.1678528979420662,0.24878585437933604
gender,1000_2_normals_s,0.7028773546218872,0.15470356245835623,0.09588621854782105,0.22945743103822072,0.19682875176270803,0.1767165650924047,0.24878585437933604
